file_path,transcript,duration,segment_index,speaker_role
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1033_seg_0.wav,HOLD THE HOLDING POINT AND WE,1.17,37,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1034_seg_0.wav,ONE THREE THREE THREE NINER ZERO THREE ONE TWO CHARLIE BYE BYE,5.61,38,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1035_seg_0.wav,HELLO CHANNEX EIGHT SEVEN PAPA ROMEO RUZYNE TOWER CONTINUE APPROACH,2.2,39,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1036_seg_0.wav,ONE THREE ONE ZERO FIVE FIVE MIKE ALPHA KILO THANKS BYE BYE,3.45,40,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1037_seg_0.wav,LUFTHANSA FIVE MIKE ECHO DESCEND FLIGHT LEVEL SIX ZERO,5.08,41,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1038_seg_0.wav,TWO FIVE THREE EIGHT,1.98,42,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1039_seg_0.wav,JETSTAR SEVEN SIX ONE WIND IS CALM RUNWAY ONE SIX RIGHT CLEARED TO LAND,2.9,43,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_103_seg_0.wav,CSA FIVE DELTA ROMEO RUNWAY ONE THREE CLEARED TO LAND WIND ZERO EIGHT ZERO DEGREES,1.7,44,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1040_seg_0.wav,EXPECT TWO HOLDINGS,1.33,45,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1041_seg_0.wav,PRAGUE RADAR GOOD AFTERNOON CHARLIE INDIA GOLF ONE SIX FOUR TWO CLIMBING LEVEL TWO EIGHT ZERO INBOUND OSCAR KILO GOLF,7.26,46,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1042_seg_0.wav,DOWN FLIGHT LEVEL ONE ZERO ZERO SKYTRAVEL ONE ZERO THREE FIVE,1.89,47,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1043_seg_0.wav,QATARI THREE ZERO SIX FOUR HELLO PRAHA RADAR CONTACT CLIMB FLIGHT LEVEL THREE THREE ZERO,7.35,48,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1044_seg_0.wav,HOTEL ECHO LIMA AFFIRM REMAIN ON MY FREQUENCY YOU ARE STILL WITHIN THE TMA,5.34,49,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1045_seg_0.wav,CLIMB FLIGHT LEVEL ONE,3.9,50,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1046_seg_0.wav,CSA NINER THREE ZERO CLIMB FLIGHT LEVEL ONE SIX,4.28,51,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1047_seg_0.wav,ONE SIX RIGHT CLEARED TO LAND AND UNDERSTOOD QANTAS FOUR NINETY EIGHT,2.86,52,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1048_seg_0.wav,NOT YET,2.42,53,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1049_seg_0.wav,PRAHA LUFTHANSA EIGHT VICTOR LIMA SAY AGAIN,3.89,54,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_104_seg_0.wav,HELLO LUFTHANSA SEVEN EIGHT SEVEN PRAHA RADAR RADAR CONTACT CLIMB FLIGHT LEVEL ONE TWO ZERO CLIMBING FLIGHT LEVEL ONE TWO ZERO LUFTHANSA SEVEN EIGHT SEVEN,6.87,55,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1050_seg_0.wav,OKAY COPY THANK YOU,4.47,56,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1051_seg_0.wav,HOTEL GOLF BRAVO IS ECHO TWO AT THREE THOUSAND THREE HUNDRED FEET,3.11,57,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1052_seg_0.wav,CSA SEVEN SEVEN THREE AND HIGHER SPEED APPROVED,4.27,58,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1053_seg_0.wav,CLEARED TO LAND RUNWAY ONE THREE CSA FIVE MIKE BRAVO,4.18,59,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1054_seg_0.wav,ONE TWO FIVE,6.215,60,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1055_seg_0.wav,CLIMBING LEVEL ONE SIX ZERO LOT FIVE TWO EIGHT,2.51,61,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1056_seg_0.wav,LINE UP RUNWAY,1.35,62,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1057_seg_0.wav,CIMBER THREE FIVE TWO SEVEN LEFT TURN HEADING ONE FOUR ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE,3.91,63,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1058_seg_0.wav,HOTEL ECHO XRAY FINAL TWO FIVE FOR TOUCH AND GO,2.75,64,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1059_seg_0.wav,ISRAEL TWO FIVE TWO PRAHA GOOD EVENING RADAR CONTACT,5.42,65,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_105_seg_0.wav,JETSTAR SEVEN SIXTY SEVEN SYDNEY TOWER,2.46,66,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1060_seg_0.wav,NOVEMBER MIKE ALPHA VECTORING FOR A SHORT APPROACH TURN LEFT HEADING TWO FOUR ZERO,2.99,67,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1061_seg_0.wav,HOTEL HOTEL OSCAR,5.18,68,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1062_seg_0.wav,HOTEL OSCAR ECHO THE SECOND TRAFFIC IS NOW TO OVERHEAD WHISKEY ONE OPOSITE,6.175,69,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1063_seg_0.wav,HOTEL ECHO XRAY WIND TWO SIX ZERO DEGREES ONE ZERO KNOTS RUNWAY TWO FIVE CLEARED TO LAND,2.28,70,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1064_seg_0.wav,THREE FOUR DECIMAL FIVE,6.0,71,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1065_seg_0.wav,EL AL FIVE TWO TWO GOOD EVENING RADAR RADAR CONTACT,1.67,72,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1066_seg_0.wav,CHANNEX SIX SIX HUNDRED PRAHA HELLO RADAR CONTACT DESCEND TO FLIGHT LEVEL THREE FOUR ZERO,1.48,73,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1067_seg_0.wav,AUSTRIAN SEVEN ZERO SEVEN PAPA REDUCE SPEED TWO ZERO ZERO,6.58,74,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1068_seg_0.wav,GOOD DAY AUSTRIAN SEVEN ZERO FOUR PRAHA RADAR RADAR CONTACT CLIMB FLIGHT LEVEL ONE FOUR ZERO HIGH SPEED APPROVED,1.89,75,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1069_seg_0.wav,QNH ONE ZERO ONE EIGHT AFTER KEEP THE PROCEEDING TO VICTOR,3.26,76,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_106_seg_0.wav,HOTEL ECHO XRAY FINAL TWO FIVE FOR TOUCH AND GO,7.84,77,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1070_seg_0.wav,LAND ONE THREE LOT FIVE TWO FIVE,5.92,78,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1071_seg_0.wav,PRAHA GOOD AFTERNOON LUFTHANSA SEVEN ONE FIVE HEAVY AT LEVEL THREE FOUR ZERO,3.84,79,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1072_seg_0.wav,RUZYNE TOWER HELLO BRIT AIR NINER ZERO,2.77,80,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1073_seg_0.wav,CSA EIGHT ZERO THREE REDUCE AS YOU NEED AND DESCEND TO FLIGHT LEVEL ONE SIX ZERO,4.05,81,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1074_seg_0.wav,CHINA SOUTHERN THREE TWENTY SIX CONTACT DEPARTURE,4.87,82,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1075_seg_0.wav,OPERA JET THREE ZERO ZERO LINE UP RUNWAY ONE THREE,5.73,83,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1076_seg_0.wav,HOTEL BRAVO KILO ECHO XRAY EXERCISES IS APPROVED,0.78,84,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1077_seg_0.wav,TWO EIGHT ZERO,2.2,85,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1078_seg_0.wav,RUNWAY TWO FIVE CLEARED TO LAND NINER JULIETT LIMA,7.87,86,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1079_seg_0.wav,DESCENDING FLIGHT LEVEL EIGHT ZERO CSA FIVE FOUR FIVE,2.59,87,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_107_seg_0.wav,THREE EIGHT PAPA GOLF BYE,1.82,88,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1080_seg_0.wav,SWISS FOUR,7.18,89,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1081_seg_0.wav,OSCAR SIERRA JULIETT DESCEND FLIGHT LEVEL SEVEN ZERO,3.23,90,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1082_seg_0.wav,ROGER CLEARED TO LAND RUNWAY THREE FOUR LEFT EXIT ON THE HIGH SPEED ON RIGHT,5.2,91,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1083_seg_0.wav,OSCAR ECHO INDIA TANGO HOTEL TOWER ON TAXIWAY KILO CROSS RUNWAY TWO EIGHT CONTACT APRON ONE TWO ONE DECIMAL SEVEN FIVE FIVE BYE BYE,2.015,92,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1084_seg_0.wav,FREQUENCY CHANGE APPROVED BYE BYE HAVE A NICE EVENING HOTEL QUEBEC MIKE,1.4,93,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1085_seg_0.wav,SEVEN ZERO NINER,1.81,94,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1086_seg_0.wav,CROSSING TO LANDING FIVE TWO TWO FIVE LANDING ON DISCRETION HELI CHARLIE ZULU,1.34,95,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1087_seg_0.wav,BAIR SEVEN ONE TWO TAXI VIA DELTA LINE UP RUNWAY ZERO FOUR,4.44,96,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1088_seg_0.wav,BERN APPROACH HOTEL BRAVO KILO BRAVO VICTOR,2.73,97,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1089_seg_0.wav,CONTRACT TWO ROMEO GOLF CONTINUE PRESENT HEADING VECTORS ILS RUNWAY THREE ONE,4.01,98,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_108_seg_0.wav,CSA EIGHT MIKE THREE PROCEED DIRECT TO PAPA ROMEO NINER ZERO SIX,2.66,99,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1090_seg_0.wav,UNITED ONE THREE FIVE BEHIND LUFTHANSA LINE UP RUNWAY,1.64,100,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1091_seg_0.wav,RYANAIR SEVEN THREE ALPHA HOTEL,2.31,101,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1092_seg_0.wav,SYDNEY TOWER EVENING QANTAS SEVENTY FIVE TWENTY EIGHT HEAVY,2.48,102,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1093_seg_0.wav,ILS ESTABLISHED RUNWAY ONE THREE,3.88,103,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1094_seg_0.wav,EUROTRANS FIVE ONE THREE THREE AT YOUR DISCRETION DESCEND TO FLIGHT LEVEL TWO EIGHT ZERO TO BE LEVEL BY HOTEL DELTA OSCAR,2.73,104,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1095_seg_0.wav,CONTACT TOWER ONE ONE EIGHT ONE GOOD NIGHT,5.55,105,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1096_seg_0.wav,THAT'S SUFFICIENT SO WE ARE GOING VIA PAPA AND THEN RUNWAY TWO TWO FOR,3.76,106,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1097_seg_0.wav,CSA SEVEN THREE TWO ZERO,0.33,107,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1098_seg_0.wav,DIRECT RAPET THANK YOU LUFTHANSA CARGO EIGHT FIVE ZERO NINER,5.0,108,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1099_seg_0.wav,OSCAR KILO ECHO LIMA ALPHA CLIMB TO FLIGHT LEVEL SEVEN ZERO,1.17,109,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_109_seg_0.wav,WIND ZERO EIGHT ZERO DEGREES,3.37,110,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_10_seg_0.wav,SKYTRAVEL ONE ZERO ONE ONE VACATE LEFT TAXIWAY PAPA CONTACT RUZYNE GROUND ONE TWO ONE DECIMAL NINER,2.95,111,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1100_seg_0.wav,NOVEMBER MIKE ALPHA ROGER AND YOU ARE RECLEARED STRAIGHT IN ILS APPROACH ONE FOUR,1.93,112,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1101_seg_0.wav,LEGEND ONE TWO ZERO TWO TOWER HELLO WIND ONE SIX ZERO DEGREES FOUR KNOTS RUNWAY ONE FOUR CLEARED TO LAND VACATE AT OWN DISCRETION,3.05,113,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1102_seg_0.wav,KILO LIMA PAPA VICTOR STANDBY FOR RUNWAY ZERO NINER FOR NOW FOLLOW TUMKA FOUR CHARLIE ARRIVAL DUE TO DEPARTURE FROM BRNO,2.43,114,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1103_seg_0.wav,FULLY ESTABLISHED ON RUNWAY THREE ONE,2.15,115,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1104_seg_0.wav,EASY FOUR EIGHT EIGHT XRAY CLIMB FLIGHT LEVEL THREE FOUR ZERO,7.37,116,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1105_seg_0.wav,AFFIRM,3.54,117,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1106_seg_0.wav,EIGHT SEVEN NINER REACHING LEVEL ONE ONE ZERO,3.41,118,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1107_seg_0.wav,BLINE FIVE TANGO HOTEL DESCEND FLIGHT LEVEL THREE ONE ZERO,3.47,119,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1108_seg_0.wav,HOTEL ZULU MIKE SIERRA FOUR DESCEND FLIGHT LEVEL NINER ZERO CONTACT RADAR ONE ONE NINER DECIMAL ZERO GOOD BYE,3.41,120,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1109_seg_0.wav,LUFTHANSA SEVEN SEVEN EIGHT CONTACT WARSAW ONE THREE FOUR DECIMAL NINER TWO FIVE,2.27,121,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_110_seg_0.wav,EIGHT EIGHT SEVEN,1.01,122,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1110_seg_0.wav,LOMKI SIX ROMEO COULD,1.71,123,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1111_seg_0.wav,MINIMUM RATE TWO THOUSAND SEVEN,2.77,124,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1112_seg_0.wav,SPEEDBIRD ONE ZERO NINER CONTACT BRATISLAVA ONE THREE FOUR DECIMAL FOUR SEVEN FIVE,1.91,125,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1113_seg_0.wav,LOT FIVE TWO FIVE TO THE LEFT HEADING TWO FIVE ZERO HEADING TWO FIVE ZERO LOT FIVE TWO FIVE,2.01,126,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1114_seg_0.wav,RIGHT HEADING ONE EIGHT ZERO KLM FIVE FIVE TANGO,0.82,127,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1115_seg_0.wav,AFFIRM ANY HIGHER UP LEVEL THREE EIGHT ZERO PLEASE AUSTRIAN FIVE FIVE ALPHA DELTA ROGER STANDBY,5.97,128,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1116_seg_0.wav,BUT,2.1,129,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1117_seg_0.wav,CSA SIX ONE EIGHT RESUME OWN NAVIGATION DIRECT VARIK DIRECT VARIK CSA SIX ONE EIGHT,0.78,130,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1118_seg_0.wav,CSA SIX ZERO FIVE ZERO DIRECT GRATZ,1.84,131,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1119_seg_0.wav,CLEARED TO LAND RUNWAY THREE ONE SOUTHERNAIR EIGHT FIVE ZERO ZERO,3.71,132,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_111_seg_0.wav,LUFTHANSA SEVEN YANKEE CORRECTION SEVEN SEVEN YANKEE PROCEED TO BUDEK,4.79,133,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1120_seg_0.wav,LUFTHANSA EIGHT LIMA JULIETT PRAHA RADAR CONTACT,1.2,134,UNKNOWN
C:\Users\tssmi\OneDrive\Desktop\nlp\processed_audio\audio_1121_seg_0.wav,SUNEXPRESS THREE TWO SEVEN PRAHA RADAR GOOD EVENING RADAR CONTACT,2.63,135,UNKNOWN
